2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 248.13 | seconds power is 8 | number of threads is 8 | block size is 64,,,
elapsed time = 251.38 | seconds power is 9 | number of threads is 8 | block size is 64,,,
elapsed time = 254.66 | seconds power is 10 | number of threads is 8 | block size is 64,,,
elapsed time = 257.93 | seconds power is 11 | number of threads is 8 | block size is 64,,,
elapsed time = 261.21 | seconds power is 12 | number of threads is 8 | block size is 64,,,
elapsed time = 264.49 | seconds power is 13 | number of threads is 8 | block size is 64,,,
elapsed time = 267.75 | seconds power is 14 | number of threads is 8 | block size is 64,,,
elapsed time = 271.04 | seconds power is 15 | number of threads is 8 | block size is 64,,,
elapsed time = 274.30 | seconds power is 16 | number of threads is 8 | block size is 64,,,
2048 8 thread done,,,
elapsed time = 4.60 | seconds power is 2 | number of threads is 10 | block size is 4,,,
elapsed time = 9.14 | seconds power is 3 | number of threads is 10 | block size is 4,,,
elapsed time = 13.80 | seconds power is 4 | number of threads is 10 | block size is 4,,,
elapsed time = 18.29 | seconds power is 5 | number of threads is 10 | block size is 4,,,
elapsed time = 22.79 | seconds power is 6 | number of threads is 10 | block size is 4,,,
elapsed time = 27.40 | seconds power is 7 | number of threads is 10 | block size is 4,,,
elapsed time = 31.91 | seconds power is 8 | number of threads is 10 | block size is 4,,,
elapsed time = 36.52 | seconds power is 9 | number of threads is 10 | block size is 4,,,
elapsed time = 41.16 | seconds power is 10 | number of threads is 10 | block size is 4,,,
elapsed time = 45.75 | seconds power is 11 | number of threads is 10 | block size is 4,,,
elapsed time = 50.39 | seconds power is 12 | number of threads is 10 | block size is 4,,,
elapsed time = 54.97 | seconds power is 13 | number of threads is 10 | block size is 4,,,
elapsed time = 59.60 | seconds power is 14 | number of threads is 10 | block size is 4,,,
elapsed time = 64.17 | seconds power is 15 | number of threads is 10 | block size is 4,,,
elapsed time = 68.69 | seconds power is 16 | number of threads is 10 | block size is 4,,,
elapsed time = 72.28 | seconds power is 2 | number of threads is 10 | block size is 8,,,
elapsed time = 75.81 | seconds power is 3 | number of threads is 10 | block size is 8,,,
elapsed time = 79.53 | seconds power is 4 | number of threads is 10 | block size is 8,,,
elapsed time = 83.13 | seconds power is 5 | number of threads is 10 | block size is 8,,,
elapsed time = 86.82 | seconds power is 6 | number of threads is 10 | block size is 8,,,
elapsed time = 90.58 | seconds power is 7 | number of threads is 10 | block size is 8,,,
elapsed time = 94.11 | seconds power is 8 | number of threads is 10 | block size is 8,,,
elapsed time = 97.84 | seconds power is 9 | number of threads is 10 | block size is 8,,,
elapsed time = 101.55 | seconds power is 10 | number of threads is 10 | block size is 8,,,
elapsed time = 105.08 | seconds power is 11 | number of threads is 10 | block size is 8,,,
elapsed time = 108.81 | seconds power is 12 | number of threads is 10 | block size is 8,,,
elapsed time = 112.57 | seconds power is 13 | number of threads is 10 | block size is 8,,,
elapsed time = 116.15 | seconds power is 14 | number of threads is 10 | block size is 8,,,
elapsed time = 119.66 | seconds power is 15 | number of threads is 10 | block size is 8,,,
elapsed time = 123.39 | seconds power is 16 | number of threads is 10 | block size is 8,,,
elapsed time = 126.73 | seconds power is 2 | number of threads is 10 | block size is 16,,,
elapsed time = 130.18 | seconds power is 3 | number of threads is 10 | block size is 16,,,
elapsed time = 133.53 | seconds power is 4 | number of threads is 10 | block size is 16,,,
elapsed time = 136.88 | seconds power is 5 | number of threads is 10 | block size is 16,,,
elapsed time = 140.41 | seconds power is 6 | number of threads is 10 | block size is 16,,,
elapsed time = 143.75 | seconds power is 7 | number of threads is 10 | block size is 16,,,
elapsed time = 147.27 | seconds power is 8 | number of threads is 10 | block size is 16,,,
